Record,Record holder
Most matches,SR Tendulkar (INDIA)
Most consecutive matches for a team,AN Cook
Most player-of-the-match awards,JH Kallis (ICC/SA)
Most player-of-the-series awards,M Muralidaran (ICC/SL)
Youngest players,Hasan Raza
Oldest players on debut,J Southerton
Longest intervals between appearances,AJ Traicos (SA/ZIM)
Most matches as captain,GC Smith (ICC/SA)
Youngest captains,Rashid Khan
Most consecutive matches as captain of a team,AR Border
Oldest captains,WG Grace
