Parameters,Statistics
Span,2004-2019
Mat,350
Runs,10773
HS,183*
Bat Av,50.57
100,10
Wkts,1
BBI,1/14
Bowl Av,31.00
5,0
Ct,321
St,123
Ave Diff,19.57
